Edrude_ind 		 Edrude_dhf
     -0.00001042      -0.00000009
     -0.00000483      -0.00000017
     -0.00000089       0.00000002
     -0.00001475      -0.00000013
     -0.00005783      -0.00000854
     -0.00000783       0.00000000
     -0.00000158      -0.00000003
     -0.00000698      -0.00000022
     -0.00001173      -0.00000144
     -0.00000546       0.00000002
     -0.00000374      -0.00000010
     -0.00000203      -0.00000001
     -0.00004341      -0.00000660
     -0.00000759      -0.00000061
     -0.00000219       0.00000000
     -0.00001918       0.00000123
     -0.00000176       0.00000007
     -0.00005460      -0.00000317
     -0.00001110       0.00000127
     -0.00005302       0.00000099
     -0.00000277       0.00000005
     -0.00000741      -0.00000020
     -0.00002015      -0.00000255
     -0.00000128       0.00000005
     -0.00004325      -0.00000024
     -0.00008781      -0.00000954
     -0.00000303      -0.00000010
     -0.00001345       0.00000038
     -0.00001643      -0.00000167
     -0.00000653      -0.00000054
     -0.00003012      -0.00000449
     -0.00000351       0.00000023
     -0.00003742      -0.00000737
     -0.00000961      -0.00000103
     -0.00003079      -0.00000135
     -0.00001037       0.00000004
     -0.00000112       0.00000001
     -0.00001678      -0.00000163
     -0.00000092      -0.00000002
     -0.00005832       0.00000350
     -0.00002052       0.00000229
     -0.00000191       0.00000001
     -0.00000746       0.00000005
     -0.00000198      -0.00000005
     -0.00000403      -0.00000007
     -0.00003318       0.00000241
     -0.00000877      -0.00000003
     -0.00000356      -0.00000013
     -0.00000252       0.00000007
     -0.00000153      -0.00000000
     -0.00005282       0.00000386
     -0.00000162       0.00000004
     -0.00003947      -0.00000092
     -0.00003855      -0.00000290
     -0.00000345       0.00000005
     -0.00010203       0.00000416
     -0.00001130      -0.00000064
     -0.00000136       0.00000001
     -0.00000939       0.00000091
     -0.00000579      -0.00000013
     -0.00002456      -0.00000355
     -0.00000156      -0.00000005
     -0.00002512      -0.00000364
     -0.00000216       0.00000009
     -0.00002709       0.00000020
     -0.00000279       0.00000025
     -0.00000249       0.00000014
     -0.00007092      -0.00000739
     -0.00000225      -0.00000010
     -0.00000157       0.00000004
     -0.00000701       0.00000051
     -0.00000206       0.00000004
     -0.00001514      -0.00000030
     -0.00005106      -0.00000759
     -0.00000472      -0.00000016
     -0.00000313      -0.00000026
     -0.00000652      -0.00000017
     -0.00004586       0.00000271
     -0.00004026       0.00000218
     -0.00000510       0.00000035
     -0.00000345      -0.00000004
     -0.00000308       0.00000001
     -0.00001083       0.00000013
     -0.00000976      -0.00000046
     -0.00001207       0.00000006
     -0.00004853       0.00000081
     -0.00000294      -0.00000004
     -0.00000370      -0.00000008
     -0.00002744       0.00000101
     -0.00000330       0.00000012
     -0.00000652       0.00000002
     -0.00002491      -0.00000176
     -0.00000588      -0.00000053
     -0.00000823       0.00000029
     -0.00002115      -0.00000049
     -0.00004538      -0.00000263
     -0.00000339      -0.00000005
     -0.00000193      -0.00000003
     -0.00000403      -0.00000033
     -0.00000184      -0.00000015
     -0.00001355      -0.00000043
     -0.00000294      -0.00000007
     -0.00003560      -0.00000035
     -0.00000266       0.00000017
     -0.00002122      -0.00000060
     -0.00001740       0.00000138
     -0.00001668       0.00000015
     -0.00000194      -0.00000000
     -0.00000207       0.00000018
     -0.00001895       0.00000098
     -0.00002064      -0.00000047
     -0.00001629      -0.00000047
     -0.00003688      -0.00000631
     -0.00000131      -0.00000000
     -0.00001426      -0.00000007
     -0.00000726      -0.00000060
     -0.00000205       0.00000004
     -0.00000987       0.00000049
     -0.00001512      -0.00000153
     -0.00002734      -0.00000208
     -0.00001182       0.00000142
     -0.00001442       0.00000031
     -0.00000151      -0.00000004
     -0.00000773      -0.00000023
     -0.00001540       0.00000043
     -0.00001743       0.00000201
     -0.00000232      -0.00000000
     -0.00000241      -0.00000008
     -0.00000437      -0.00000011
     -0.00000387      -0.00000014
     -0.00000358       0.00000024
     -0.00001149      -0.00000044
     -0.00000730      -0.00000077
     -0.00001638      -0.00000058
     -0.00002533       0.00000281
     -0.00000803      -0.00000024
     -0.00000195      -0.00000000
     -0.00000674       0.00000029
     -0.00000364      -0.00000021
     -0.00000884       0.00000050
     -0.00000122       0.00000005
     -0.00000179       0.00000003
     -0.00005730      -0.00000009
     -0.00000099       0.00000008
     -0.00000160      -0.00000005
     -0.00006397       0.00000009
     -0.00000187       0.00000003
     -0.00000196       0.00000011
     -0.00003207      -0.00000229
     -0.00003399       0.00000073
     -0.00011980      -0.00000319
     -0.00005760      -0.00000781
     -0.00000805      -0.00000049
     -0.00001478      -0.00000019
     -0.00000098       0.00000006
     -0.00001051      -0.00000069
     -0.00000680      -0.00000019
     -0.00001672      -0.00000037
     -0.00002381       0.00000194
     -0.00001219      -0.00000032
     -0.00005840      -0.00000734
     -0.00002838      -0.00000070
     -0.00004964      -0.00000740
     -0.00000214      -0.00000008
     -0.00003394      -0.00000438
     -0.00000146      -0.00000000
     -0.00001437      -0.00000025
     -0.00000274      -0.00000000
     -0.00000094       0.00000009
     -0.00000198       0.00000017
     -0.00000326       0.00000001
     -0.00001854      -0.00000021
     -0.00000105       0.00000003
     -0.00000233       0.00000011
     -0.00003352      -0.00000152
     -0.00000153      -0.00000001
     -0.00000090      -0.00000002
     -0.00000126      -0.00000003
     -0.00000134       0.00000007
     -0.00001790       0.00000024
     -0.00000350       0.00000016
     -0.00006092      -0.00000902
     -0.00000851       0.00000015
     -0.00000398      -0.00000005
     -0.00000493       0.00000007
     -0.00000787      -0.00000088
     -0.00002735      -0.00000071
     -0.00000621       0.00000057
     -0.00005189      -0.00000726
     -0.00000537      -0.00000014
     -0.00000241       0.00000012
     -0.00000309       0.00000019
     -0.00000427       0.00000009
     -0.00002350       0.00000057
     -0.00000328      -0.00000000
     -0.00000779      -0.00000032
     -0.00001222       0.00000022
     -0.00009577       0.00000230
     -0.00000648      -0.00000031
     -0.00001693      -0.00000206
     -0.00002072      -0.00000148
     -0.00003365      -0.00000363
     -0.00001170       0.00000006
     -0.00002015      -0.00000158
     -0.00002536       0.00000206
     -0.00000375       0.00000031
     -0.00001420       0.00000058
     -0.00001114      -0.00000003
     -0.00000691      -0.00000058
     -0.00000200      -0.00000008
     -0.00000174      -0.00000012
     -0.00000490      -0.00000029
     -0.00001108      -0.00000035
     -0.00000188       0.00000005
     -0.00000466       0.00000002
     -0.00000331      -0.00000003
     -0.00001097      -0.00000027
     -0.00000828      -0.00000007
     -0.00000193       0.00000001
     -0.00000115      -0.00000000
     -0.00000130       0.00000001
     -0.00000217      -0.00000003
     -0.00000374       0.00000008
     -0.00000495      -0.00000007
     -0.00000217      -0.00000004
     -0.00000700      -0.00000069
     -0.00000340       0.00000001
     -0.00001566       0.00000111
     -0.00000992      -0.00000103
