# Eelst 		 Emultipole 
     -0.00010607       0.00002713
     -0.00042175      -0.00003741
     -0.00010891      -0.00000335
     -0.00504026      -0.00018032
     -0.00012053      -0.00000228
     -0.00023275       0.00004873
     -0.00010971      -0.00001669
     -0.00174475       0.00008266
     -0.00245932      -0.00018135
     -0.00039883      -0.00000443
     -0.00017563      -0.00000273
     -0.00460001      -0.00025449
     -0.00010075      -0.00001700
     -0.00495998      -0.00005718
     -0.00092208       0.00000198
     -0.00962547      -0.00027963
     -0.00050056      -0.00003439
     -0.00111364       0.00000622
     -0.00164569       0.00007077
     -0.00030384       0.00002066
     -0.00033996      -0.00000505
     -0.00605461      -0.00023237
     -0.00027685      -0.00003719
     -0.00046079       0.00000516
     -0.00014816       0.00001763
     -0.00009932      -0.00002909
     -0.00013725      -0.00002401
     -0.00043787       0.00005510
     -0.00020022       0.00006604
     -0.00012628       0.00005346
     -0.00103612       0.00018585
     -0.00213042       0.00005595
     -0.00351402      -0.00017904
     -0.00107248      -0.00006919
     -0.00489788      -0.00026193
     -0.00210543      -0.00012893
     -0.00009325      -0.00001004
     -0.00104714       0.00005610
     -0.00033367      -0.00002987
     -0.00023700       0.00006946
     -0.00014950      -0.00000438
     -0.00031086       0.00002613
     -0.00009253      -0.00002015
     -0.00115319      -0.00006255
     -0.00012471      -0.00000456
     -0.00075237      -0.00006822
     -0.00031749      -0.00005884
     -0.00183112      -0.00009274
     -0.00091540      -0.00012423
     -0.00005782       0.00003351
     -0.00303869      -0.00012943
     -0.00109621      -0.00007217
     -0.00037923      -0.00003782
     -0.00021768       0.00007747
     -0.00007751       0.00000058
     -0.00010231       0.00001187
     -0.00030609      -0.00000936
     -0.00039710       0.00000047
     -0.00004409       0.00003418
     -0.00013562       0.00000700
     -0.00031092      -0.00005537
     -0.00037402      -0.00007879
     -0.00024320      -0.00004015
     -0.00095591      -0.00005868
     -0.00423868       0.00007517
     -0.00007536       0.00004150
     -0.00022682      -0.00003261
     -0.00074095      -0.00004151
     -0.00009692       0.00001686
     -0.00039935       0.00005048
     -0.00056385      -0.00001718
     -0.00071926      -0.00011997
     -0.00197385      -0.00009087
     -0.00272254       0.00021920
     -0.00967138      -0.00011356
     -0.00039514      -0.00005505
     -0.00007253       0.00000687
     -0.00233618      -0.00006759
     -0.00351124      -0.00007061
     -0.00029704      -0.00004290
     -0.00174132      -0.00005633
     -0.00349191      -0.00012055
